,"cegodnia.txt","ferghana.txt","gazieta.txt","kommersant.txt","literaturnaia.txt","novaiaGazieta.txt","novIsvestia.txt"
"a",2,0,0,0,0,0,0
"alert",1,0,0,0,0,0,0
"alexander",1,0,0,0,0,0,0
"allianz",0,0,0,1,0,0,0
"america",0,0,1,0,0,0,0
"and",0,0,0,0,0,0,2
"ania-virginia",0,0,0,0,0,0,1
"antioch",0,0,0,0,0,1,0
"ap",0,0,0,2,0,0,0
"asia",0,0,1,0,0,0,0
"ayme",1,0,0,0,0,0,0
"b",1,0,0,0,0,0,0
"baldo",1,0,0,0,0,0,0
"bank",0,0,1,1,0,0,0
"barclays",0,0,1,0,0,0,0
"beet",1,0,0,0,0,0,0
"berkshire",0,0,0,1,0,0,0
"bhatt",1,0,0,0,0,0,0
"bk.ru",0,0,0,0,3,0,0
"bloomberg",0,0,4,0,0,0,0
"bnp",0,0,0,1,0,0,0
"board",1,0,0,0,0,0,0
"bob",1,0,0,0,0,0,0
"bogot",1,0,0,0,0,0,0
"brent",0,0,0,1,0,5,0
"brothers",0,0,4,0,0,1,0
"bushmaster",0,0,0,0,0,0,1
"cac",0,0,0,1,0,0,0
"capital",0,0,2,0,0,0,0
"carry",0,0,0,1,0,0,0
"cd",1,0,0,0,0,0,0
"ceir",0,0,0,0,0,0,1
"charles",1,0,0,0,0,0,0
"charleston",1,0,0,0,0,0,0
"chicago",0,0,0,0,0,1,0
"citigroup",0,0,1,0,0,0,0
"coldplay",0,0,0,0,0,0,1
"colombia",1,0,0,0,0,0,0
"comstock",0,0,1,0,0,0,0
"cо",0,0,1,0,0,0,0
"daily",0,0,0,0,0,1,0
"dax",0,0,0,1,0,0,0
"de",1,0,0,0,0,0,0
"del",1,0,0,0,0,0,0
"deutsche",0,0,0,1,0,0,0
"dow",0,0,1,2,0,0,0
"drewfus",1,0,0,0,0,0,0
"dvd",1,0,0,0,0,0,0
"east",0,0,1,0,0,0,0
"economics",0,0,2,0,0,0,0
"ecuador",1,0,0,0,0,0,0
"email",0,0,0,0,3,0,0
"fast",0,0,0,0,0,1,0
"federal",1,0,0,0,0,0,0
"financial",0,0,1,0,0,0,0
"finanse",0,0,0,0,0,0,1
"fiorini",0,0,1,0,0,0,0
"food",0,0,0,0,0,1,0
"forbes",0,0,0,0,1,0,0
"frankfurt",0,0,0,0,0,0,4
"freedom",0,0,0,0,0,0,2
"ftse",0,0,0,2,0,0,0
"global",1,0,0,0,0,0,0
"glock",0,0,0,0,0,0,1
"goldman",0,0,0,2,0,0,0
"government.ru",1,0,0,0,0,0,0
"governors",1,0,0,0,0,0,0
"group",0,0,0,0,0,0,1
"h",2,0,0,0,0,0,0
"hamma",0,0,0,0,0,0,1
"harrington",0,0,0,0,0,0,1
"hathaway",0,0,0,1,0,0,0
"herald",1,0,0,0,0,0,1
"holmlund",1,0,0,0,0,0,0
"hoover",0,0,0,0,0,0,1
"hoyenski",1,0,0,0,0,0,0
"hsbc",0,0,1,0,0,0,0
"i",0,0,1,0,0,1,0
"ia",0,0,0,2,0,0,0
"icq",0,1,0,0,0,0,0
"ict",0,0,0,0,0,0,1
"ifema",0,0,0,0,0,0,2
"ii",0,0,0,0,2,5,0
"iii",0,0,0,0,0,5,0
"images",0,0,1,0,0,0,0
"inc",0,0,1,0,0,0,0
"ing",0,0,0,1,0,0,0
"initiative",1,0,0,0,0,0,0
"international",1,0,0,0,0,0,1
"iphone",0,0,0,5,0,0,0
"ipo",0,0,0,0,0,0,1
"ism",0,0,2,0,0,0,0
"iv",0,0,1,0,0,0,0
"john",1,0,0,0,0,0,4
"jones",0,0,1,2,0,0,0
"journal",1,0,0,0,0,0,0
"jpmorgan",0,0,1,0,0,0,0
"katharina",0,0,0,0,0,0,1
"kazakhstan",0,1,0,0,0,0,0
"kleinbichler",0,0,0,0,0,0,1
"l'officiel",0,0,0,0,0,0,1
"la",1,0,0,0,0,0,0
"laissez-faire",1,0,0,0,0,0,0
"ledbury",0,0,0,0,0,0,1
"lehman",0,0,4,0,0,1,0
"lgz.ru",0,0,0,0,3,0,0
"libor",0,0,0,1,0,0,0
"litgazeta",0,0,0,0,3,0,0
"livejournal",9,0,0,0,0,0,0
"livejournal.com",0,0,0,0,1,0,0
"lj",0,0,0,0,3,0,0
"logan",4,0,0,0,0,0,0
"lynch",0,0,2,1,0,0,0
"manrique",1,0,0,0,0,0,0
"manufacturing",0,0,2,0,0,0,0
"maria",0,0,1,0,0,0,0
"mark",1,0,0,0,0,0,0
"markit",0,0,1,0,0,0,0
"marlin",0,0,0,0,0,0,1
"marr",1,0,0,0,0,0,0
"merrill",0,0,2,1,0,0,0
"messe",0,0,0,0,0,0,4
"michael",0,0,0,0,0,0,1
"msci",0,0,1,0,0,0,0
"msk",0,2,0,0,0,0,0
"nasdaq",0,0,1,0,0,0,0
"nation",1,0,0,0,0,0,0
"new",1,0,0,0,0,0,1
"news",0,0,1,0,0,0,0
"nytimes.com",3,0,0,0,0,0,0
"of",2,0,1,0,0,0,0
"p",1,0,1,2,0,0,0
"pacific",0,0,1,0,0,0,0
"paperworld",0,0,0,0,0,0,2
"paribas",0,0,0,1,0,0,0
"pat",1,0,0,0,0,0,0
"patrice",1,0,0,0,0,0,0
"paul",0,0,0,0,0,0,4
"pda",0,0,0,5,0,0,0
"pennington",1,0,0,0,0,0,0
"per",1,0,0,0,0,0,0
"perry",1,0,0,0,0,0,0
"peter",1,0,0,0,0,0,0
"presidencia",1,0,0,0,0,0,0
"pricewaterhousecoopers",1,0,0,0,0,0,0
"pwc",4,0,0,0,0,0,0
"quintessentially",0,0,0,0,0,0,2
"raj",1,0,0,0,0,0,0
"ramirez",0,0,1,0,0,0,0
"reichhold",0,0,0,0,0,0,1
"remington",0,0,0,0,0,0,1
"renault",22,0,0,0,0,0,0
"republica",1,0,0,0,0,0,0
"research",0,0,0,0,0,0,1
"research.stlouisfed.org",1,0,0,0,0,0,0
"reserve",1,0,0,0,0,0,0
"reuters",1,0,0,1,0,0,0
"review",0,0,0,0,0,1,0
"richard",1,0,0,0,0,0,0
"richardson",0,0,0,0,0,0,1
"rodrigo",1,0,0,0,0,0,0
"rowena",0,0,0,0,0,0,1
"rss",0,0,0,5,3,0,0
"rts",0,0,0,3,0,0,0
"ruger",0,0,0,0,0,0,1
"s",0,0,1,2,0,0,1
"sachs",0,0,0,2,0,0,0
"servius",1,0,0,0,0,0,0
"siemens",0,0,0,0,0,2,0
"smart",0,0,0,5,0,0,0
"smith",0,0,0,0,0,0,4
"sms",0,0,0,5,0,0,0
"source",1,0,0,0,0,0,0
"street",1,0,0,0,0,0,0
"sturm",0,0,0,0,0,0,1
"subprime",0,0,1,0,0,0,0
"system",1,0,0,0,0,0,0
"ted",1,0,0,0,0,0,0
"the",2,0,1,0,0,1,0
"times",1,0,1,0,0,0,1
"tl",1,0,0,0,0,0,0
"today",0,1,0,0,0,0,0
"trade",1,0,0,1,0,0,0
"tribune",1,0,0,0,0,1,1
"ucf",0,0,0,0,0,0,1
"ufi",0,0,0,0,0,0,11
"ufi.org",0,0,0,0,0,0,1
"urals",0,0,0,0,0,0,1
"v.r",1,0,0,0,0,0,0
"wall",1,0,0,0,0,0,0
"wap",0,0,0,5,0,0,0
"web",0,0,0,0,3,0,0
"web-решение",0,0,0,0,0,0,1
"web-страницу",0,0,0,0,0,0,1
"webadmin88",0,0,0,0,3,0,0
"wesson",0,0,0,0,0,0,4
"wise",0,0,0,0,0,0,1
"www.lgz.ru",0,0,0,0,3,0,0
"xix",0,0,0,0,2,0,0
"xviii",1,0,0,0,0,0,0
"xviii—xix",0,0,0,0,0,1,0
"xx",0,0,0,0,2,2,0
"xxi",0,0,0,0,1,0,0
"york",1,0,0,0,0,0,1
"zurich",0,0,0,0,1,0,0
"а",32,3,15,30,53,93,35
"абзаце",0,0,0,0,0,1,0
"абортов",0,0,0,0,0,1,0
"абсолютна",0,0,0,0,0,2,0
"абсолютно",0,0,0,0,0,3,0
"абсолютности",0,0,0,0,0,1,0
"абсолютным",0,0,0,0,0,1,0
"абсорбировать",0,0,0,1,0,0,0
"абсурдно",0,0,0,0,0,1,0
"аварии",0,0,0,2,0,0,0
"август",0,0,0,1,0,0,2
"августа",0,1,0,7,1,3,2
"августе",1,0,3,5,0,0,2
"августовских",0,0,0,0,0,1,0
"августом",0,0,0,2,0,0,0
"августу",1,0,0,0,0,0,2
"авиакатастрофа",0,0,0,0,0,1,0
"аврально",0,0,0,0,0,2,0
"авс",0,0,0,2,0,0,0
"австро-венгрии",0,0,0,0,0,1,0
"автоваз",3,0,0,0,0,1,0
"автоваза",6,0,0,0,0,0,0
"автовазе",1,0,0,0,0,0,0
"автовазом",1,0,0,0,0,0,0
"автовазу",3,0,0,0,0,0,0
"автозавода",1,0,0,0,0,0,0
"автозаводов",1,0,0,0,0,0,0
"автокомплектующих",1,0,0,0,0,0,0
"автоконцерны",0,0,0,0,1,0,0
"автокредитам",0,0,0,0,1,0,0
"автокредитов",0,0,0,0,0,1,0
"автоматически",0,0,0,0,1,1,0
"автомобилей",5,0,1,0,2,0,0
"автомобилем",0,0,0,0,1,0,0
"автомобили",0,0,0,0,0,1,0
"автомобиль",0,0,0,0,0,0,1
"автомобильной",0,0,0,0,1,0,0
"автомобиля",1,0,0,0,0,1,1
"автомобилями",0,0,0,0,0,1,0
"автоответчик",0,0,0,0,3,0,0
"автопроизводителей",2,0,0,0,0,0,0
"автопром",0,0,0,0,1,0,0
"автопрома",1,0,0,0,0,0,0
"автор",0,0,0,0,0,3,0
"авторами",0,2,0,0,0,0,0
"авторитарная",0,0,0,0,0,3,0
"авторитарного",1,0,0,0,0,0,0
"авторитарной",0,0,0,0,0,4,0
"авторитарности",0,0,0,0,0,1,0
"авторитарность",0,0,0,0,0,1,0
"авторитарную",0,0,0,0,0,1,0
"авторитетной",0,0,0,0,0,0,1
"авторитетные",0,0,0,0,1,0,0
"авторитету",1,0,0,0,0,0,0
"авторов",1,2,0,1,0,0,0
"автором",0,0,0,0,0,1,0
"авторского",0,0,0,0,0,1,0
"авторы",0,0,0,5,0,0,0
"автостоянке",0,0,0,0,0,0,1
"автостоянку",0,0,0,0,0,0,1
"автохлам",0,0,1,0,0,0,0
"агентства",0,0,0,3,1,0,0
"агенты",0,0,0,1,0,0,0
"агитпропа",0,0,0,0,0,1,0
"агонии",0,0,0,0,0,1,0
"агрессивная",0,0,1,0,0,0,0
"агропродкорпорации",0,1,0,0,0,0,0
"адама",0,0,0,0,1,0,0
"адаптации",1,0,0,0,0,0,0
"адаптироваться",0,0,1,0,0,0,0
"адекватно",1,0,0,0,0,0,0
"адекватный",1,0,0,0,0,0,0
"административно-командного",0,0,0,0,1,0,0
"административной",0,0,0,0,1,0,0
"административному",0,0,1,0,0,0,0
"административную",0,0,0,0,0,1,0
"администрацией",0,0,0,2,0,0,0
"администрации",0,0,0,1,0,0,0
"администрация",0,0,0,1,0,0,0
"администрациям",0,1,0,0,0,0,0
"адресу",0,0,0,0,0,0,1
"азаров",0,0,0,1,0,0,0
"азербайджана",0,0,0,0,0,2,0
"азербайджане",0,0,0,0,0,1,0
"азербайджанец",0,0,0,0,0,1,0
"азиатские",0,0,1,0,0,0,0
"азиатских",1,0,0,1,0,0,0
"азиатско-тихоокеанском",0,0,0,0,0,0,2
"азии",0,2,1,0,1,1,3
"азия",0,2,0,0,0,0,0
"академический",0,0,0,0,0,1,0
"акг",0,0,1,0,0,0,0
"акиндинова",1,0,0,0,0,0,0
"аккумулировала",0,0,0,0,0,1,0
"аккуратней",0,0,1,0,0,0,0
"аккуратно",0,0,0,0,0,1,0
"аксененко",0,0,0,0,0,1,0
"аксиома",0,0,0,0,0,1,0
"активами",0,0,0,1,0,0,0
"активизировать",0,0,1,0,0,0,0
"активнее",0,0,0,0,0,0,1
"активно",0,0,1,0,0,0,2
"активного",0,0,1,0,0,1,1
"активное",0,0,0,0,0,1,0
"активной",0,0,0,1,0,0,0
"активности",2,0,5,1,0,1,0
"активность",0,0,1,1,0,0,0
"активов",0,0,1,1,0,0,0
"активы",0,0,0,0,2,0,0
"актриса",0,0,0,0,1,0,0
"актуализирует",1,0,0,0,0,0,0
"актуальным",0,0,0,0,0,0,1
"акцентировать",0,0,0,0,0,1,0
"акции",0,0,1,7,1,1,0
"акций",0,0,0,5,0,0,1
"акционерного",0,0,0,0,2,0,0
"акционеров",1,0,0,0,0,0,0
"акциям",0,0,0,1,0,0,0
"акциях",0,0,0,1,0,0,0
"акылбек",0,1,0,0,0,0,0
"алана",0,0,0,1,0,0,0
"алгоритм",0,0,0,0,0,1,0
"александр",0,0,1,0,0,1,3
"александра",2,0,0,0,0,0,1
"алексашенко",2,0,0,0,0,0,0
"алексей",2,0,5,5,0,4,0
"алемар",0,0,0,1,0,0,0
"алистер",0,0,0,1,0,0,0
"алогичностью",0,0,0,0,1,0,0
"алчности",0,0,0,0,1,0,0
"алчность",0,0,0,0,1,0,0
"альтернативная",1,0,0,0,0,0,0
"альтернативной",1,0,0,1,0,0,0
"альтернативную",0,0,0,1,0,0,0
"альтернативный",0,0,0,0,0,1,0
"альтернативным",1,0,0,0,0,0,0
"альтернативных",2,0,0,0,0,0,0
"альфа-банка",0,0,1,1,0,0,0
"альфа-капитал",0,0,1,1,0,0,0
"альфу",0,0,0,0,1,0,0
"альянс",0,1,0,0,0,0,0
"алюминий",0,0,0,0,1,0,0
"америка",1,0,0,0,0,8,1
"американец",0,0,0,0,0,0,1
"американская",0,0,0,0,3,1,0
"американские",0,0,0,1,1,2,3
"американский",0,0,0,0,3,0,0
"американским",2,0,0,1,0,0,0
"американских",1,0,1,2,0,1,0
"американского",0,0,0,1,2,2,1
"американской",2,0,0,4,2,3,0
"американском",0,0,0,0,0,0,1
"американскую",2,0,1,0,0,0,1
"американца",0,0,0,0,1,0,2
"американцам",1,0,0,0,0,0,1
"американцев",2,0,0,1,0,2,2
"американцы",0,0,0,0,0,4,0
"америке",2,0,2,1,1,15,3
"америкеэто",0,0,0,0,0,1,0
"америки",1,0,1,0,1,2,1
"америкой",0,0,0,0,0,0,1
"америку",0,0,0,0,0,3,0
"амеро",1,0,0,0,0,0,0
"амударья",0,1,0,0,0,0,0
"амуницию",0,0,0,0,0,0,1
"анализ",0,1,0,0,0,1,0
"анализа",1,0,1,2,0,0,0
"анализе",1,0,0,0,0,0,0
"аналитик",1,0,1,2,1,0,2
"аналитика",0,0,0,1,0,0,0
"аналитики",3,0,1,2,0,1,2
"аналитиков",0,0,1,1,0,0,2
"аналитических",0,0,0,0,1,0,0
"аналитического",2,0,0,4,0,0,1
"аналитической",0,0,0,1,0,0,0
"аналог",0,0,0,0,0,1,0
"аналогам",0,0,0,1,0,0,0
"аналогии",0,0,0,0,0,1,0
"аналогичного",2,0,0,0,0,0,0
"аналогичному",0,0,1,0,0,0,0
"аналогичный",0,0,0,1,0,0,0
"аналогичным",0,0,1,0,0,2,0
"аналогичными",0,0,0,1,0,0,0
"анатолий",0,0,0,0,1,0,0
"англии",0,0,0,0,0,1,0
"андрей",0,0,1,8,0,0,0
"аномалия",0,0,0,0,0,1,0
"антикризисного",0,0,0,1,0,0,1
"антикризисной",2,0,0,0,1,0,0
"антикризисные",0,0,0,1,2,1,0
"антикризисный",0,0,0,0,0,0,1
"антикризисным",0,0,0,0,1,0,0
"антикризисными",0,0,0,0,0,1,0
"антикризисных",1,0,0,1,0,2,0
"антимонопольного",0,0,0,0,1,0,0
"апокалипсис",1,0,0,0,0,1,0
"апокалипсиса",1,0,0,0,0,0,0
"апологеты",0,0,0,0,0,1,0
"аппарата",0,0,0,0,1,1,0
"аппаратная",0,0,0,0,0,2,0
"аппетиты",0,0,0,0,0,1,0
"апреле",0,0,0,0,0,1,0
"апрель-июнь",0,1,0,0,0,0,0
"апреля",1,1,0,0,1,0,0
"априори",0,0,0,0,0,1,0
"арбат",2,0,0,0,0,0,0
"аргумент",2,1,0,0,0,0,0
"аргументированное",0,1,0,0,0,0,0
"аргументом",0,0,0,0,0,0,1
"аренда",0,0,0,0,0,0,1
"аристократии",0,0,0,0,0,1,0
"аристотель",0,0,0,0,1,0,0
"армии",0,0,0,0,0,1,0
"армия",0,0,0,0,1,1,0
"арсенал",0,0,0,0,0,0,1
"артема",1,0,0,0,0,0,0
"артур",0,0,0,1,0,0,0
"архаизацию",0,0,0,0,0,1,0
"археологи",0,0,0,0,0,0,1
"архив",0,0,0,5,0,0,0
"архивы",0,0,0,0,3,0,0
"ассистентов",0,0,0,0,0,1,0
"ассортимент",0,0,0,0,1,0,0
"ассоциации",0,0,0,0,0,0,5
"атланты",0,0,0,0,0,0,1
"аудит",1,0,0,0,0,0,0
"афганистане",0,0,0,0,0,1,1
"африка",0,0,0,0,0,0,1
"африке",0,0,0,0,0,0,1
"аффилированные",0,0,0,0,0,2,0
"б",1,0,0,0,1,1,0
"б.султанов",0,5,0,0,0,0,0
"б.султанова",0,1,0,0,0,0,0
"бабанова",1,0,0,0,0,0,0
"бабла",0,0,0,0,0,2,0
"бабой",0,0,0,0,0,1,0
"бабушка",0,0,0,0,0,1,0
"база",0,0,0,0,0,1,0
"базируется",0,0,0,1,0,1,1
"базируются",0,0,0,1,0,0,0
"базисом",0,0,0,0,0,1,0
"базовая",1,0,0,0,0,0,0
"базовом",0,0,1,0,0,0,0
"базовый",0,0,0,1,0,0,0
"базовых",0,0,0,1,0,0,0
"базы",0,0,0,0,0,0,1
"байдена",0,0,0,1,0,0,0
"бакиева",0,1,0,0,0,0,0
"баку",0,0,0,0,0,1,0
"баланс",0,0,1,0,1,0,0
"баланса",1,0,1,1,0,1,1
"балансирует",0,0,0,0,0,1,0
"балансируя",0,0,0,0,1,0,0
"балканизация",1,0,0,0,0,0,0
"балкибеков",0,1,0,0,0,0,0
"балла",0,0,1,0,0,0,0
"балласт",0,0,0,0,0,1,0
"банальностей",1,0,0,0,0,0,0
"бандитов",0,0,0,0,0,0,1
"банк",0,0,2,1,0,4,3
"банка",1,0,4,4,1,2,1
"банкам",1,0,0,0,1,1,1
"банками",0,0,0,0,0,0,1
"банках",0,0,0,0,0,0,1
"банке",0,0,0,0,0,0,1
"банки",1,0,1,2,2,1,5
"банкир",0,0,0,0,0,0,1
"банкирам",0,0,0,0,0,1,0
"банкиров",0,0,0,0,0,1,2
"банкиры",0,0,0,0,0,2,2
"банков",1,0,4,0,2,1,3
"банковская",0,0,0,0,1,1,0
"банковские",0,0,0,0,1,0,0
"банковский",0,0,0,0,0,0,1
"банковских",0,0,0,0,0,0,1
"банковско-финансовой",0,0,0,0,1,0,0
"банковского",0,0,0,0,1,0,3
"банковской",3,0,0,0,0,1,0
"банковском",0,0,0,0,1,2,1
"банковскую",0,0,0,0,0,0,3
"банком",1,0,0,2,0,0,0
"банкротами",0,0,0,0,0,1,0
"банкротом",0,0,1,0,0,0,0
"банкротства",0,0,3,0,0,0,1
"банкротство",0,0,1,0,1,0,0
"банкротством",0,0,0,0,0,1,0
"банкротятся",0,0,0,0,1,0,0
"банку",0,0,1,2,0,0,0
"барак",0,0,1,9,0,0,1
"барака",2,0,0,6,0,1,1
"бараком",0,0,0,1,0,0,0
"баранов",2,0,0,0,0,0,0
"бараном",0,0,0,0,0,1,0
"барометр",0,0,0,0,0,0,1
"барометра",0,0,0,0,0,0,1
"барометре",0,0,0,0,0,0,2
"баррелей",0,1,0,0,0,0,0
"баррель",0,2,1,7,0,13,1
"барри",1,0,0,0,0,0,0
"басацкий",0,0,0,2,0,0,0
"бассейнов",0,1,0,0,0,0,0
"бастилии",0,0,0,0,0,1,0
"баффету",0,0,0,1,0,0,0
"бахыт",0,1,0,0,0,0,0
"беглое",0,0,0,0,0,1,0
"беда",0,0,0,0,1,0,0
"бедности",0,0,0,0,1,0,2
"бедностью",0,0,0,0,0,0,1
"бедным",0,0,0,0,0,1,1
"бедными",0,0,0,0,0,0,1
"бедных",1,0,0,0,0,2,0
"бедствие",0,0,0,0,1,0,0
"беды",0,0,0,0,0,0,1
"бежал",0,0,0,0,0,1,0
"бежали",0,0,0,0,0,2,0
"бежать",0,0,0,0,0,1,0
"без",10,1,0,0,11,13,4
"безальтернативный",0,0,0,0,0,1,0
"безграничны",0,0,0,0,0,1,0
"бездефицитным",0,0,0,0,0,1,0
"безопасного",1,0,0,0,0,0,0
"безопасности",1,0,0,0,0,0,2
"безопасность",0,0,0,0,0,0,1
"безопасным",0,0,0,1,0,0,0
"безосновательна",0,0,0,0,1,0,0
"безработица",0,0,0,5,1,1,2
"безработице",0,0,0,1,0,0,0
"безработицей",0,0,0,1,0,0,1
"безработицу",1,0,0,0,0,0,0
"безработицы",2,0,1,1,1,1,3
"безработные",0,0,0,0,0,0,1
"безработными",0,0,0,1,0,1,0
"безработных",0,0,1,1,1,3,4
"безразличных",0,0,0,0,0,1,0
"безудержная",0,0,0,0,1,0,0
"безудержно",0,0,0,0,0,1,0
"безумием",0,0,0,0,0,1,0
"безумная",0,0,0,0,0,1,0
"безумных",0,0,0,0,0,2,0
"безусловно",1,0,1,1,0,4,0
"белого",0,0,0,2,0,1,0
"белоруссии",0,0,0,0,0,1,0
"белоруссию",0,0,0,0,0,1,0
"белым",0,0,0,0,0,1,0
"белых",0,0,0,0,0,3,1
"бен",0,0,0,2,0,0,1
"бенефициар",0,0,0,0,0,2,0
"берет",1,0,0,0,0,0,0
"берется",0,0,0,0,0,0,1
"беречь",0,0,0,0,0,1,0
"бери",0,0,0,0,0,1,0
"бернанке",0,0,0,2,0,0,1
"бернстайном",0,0,0,1,0,0,0
"берут",0,0,0,0,1,0,0
"берутся",0,0,0,0,0,1,0
"беседа",0,0,0,0,0,1,0
"беседовал",0,0,0,0,0,2,0
"бесконечно",0,0,0,0,0,1,0
"бесконечное",0,0,0,0,0,1,0
"бесплатная",0,0,0,0,1,0,0
"бесплатно",0,0,0,0,0,0,1
"бесплатного",0,0,0,0,0,0,1
"бесплатное",0,0,0,0,0,0,2
"бесплатны",0,0,0,0,0,1,0
"бесплатный",0,0,0,0,0,0,1
"бесплатных",0,0,0,0,0,1,0
"бесплодность",1,0,0,0,0,0,0
"беспокоит",1,0,0,0,0,0,0
"бесполезно",0,0,0,0,0,1,0
"бесполезны",0,0,0,0,0,1,0
"беспомощных",0,0,0,0,0,1,0
"беспорядками",1,0,0,0,0,0,0
"беспорядки",0,0,0,0,0,1,0
"беспредела",1,0,0,0,0,0,0
"беспрецедентного",0,0,0,0,0,1,0
"беспрецедентную",1,0,0,0,0,0,0
"беспрецедентный",0,0,0,1,0,0,0
"бессмысленно",0,0,0,0,0,0,1
"бессмыссленные",0,1,0,0,0,0,0
"бессознательного",0,0,0,0,0,1,0
"бессознательному",0,0,0,0,0,1,0
"бивалютная",0,0,0,0,0,0,1
"бивалютной",0,0,1,0,0,0,1
"бизнес",0,0,1,0,1,4,0
"бизнес-зона",0,0,0,0,0,0,1
"бизнес-процессов",0,0,1,0,0,0,0
"бизнес-систем",0,0,1,0,0,0,0
"бизнес-структур",0,0,0,0,0,1,0
"бизнеса",3,0,1,2,2,4,3
"бизнесе",0,0,0,0,0,0,1
"бизнесмен",0,0,0,0,1,0,0
"бизнесмена",0,0,0,0,0,0,1
"бизнесменам",0,0,0,1,0,0,0
"бизнесменов",0,0,0,0,2,0,0
"бизнесмены",0,0,0,0,0,0,1
"бизнесов",1,0,0,0,0,0,0
"бизнесу",0,0,0,0,1,1,0
"билетом",0,0,0,1,0,0,0
"билла",2,0,0,0,0,0,0
"бинбанка",0,0,0,1,0,0,0
"биологически",0,0,0,0,0,1,0
"биомассы",0,0,0,0,0,1,0
"биржах",0,0,0,0,1,0,0
"бирже",0,0,1,0,0,1,1
"биржевые",0,0,0,1,0,1,0
"биржевых",0,0,0,2,0,0,0
"биржи",0,0,0,0,1,0,0
"бит",1,0,0,0,0,0,0
"бишкек",0,1,0,0,0,0,0
"бишкеке",0,1,0,0,0,0,0
"бки",0,0,0,0,0,0,1
"благ",0,0,0,0,1,0,0
"блага",0,0,0,0,0,2,0
"благо",0,0,0,0,1,0,0
"благодарным",0,0,0,0,0,1,0
"благодарственное",1,0,0,0,0,0,0
"благодаря",1,0,0,0,1,0,1
"благодеяний",0,0,0,0,2,0,0
"благополучие",0,0,0,0,1,0,0
"благополучию",0,0,0,0,0,0,1
"благополучная",0,0,0,0,0,1,0
"благополучный",0,0,0,0,0,1,0
"благоприятной",1,0,0,0,0,0,0
"благоприятные",0,0,0,0,1,0,0
"благосостояния",0,0,0,1,3,2,0
"благотворительность",0,0,0,0,0,1,0
"благотворного",0,0,0,0,1,0,0
"благую",0,0,0,0,0,1,0
"блатным",0,0,0,0,0,1,0
"ближайшая",0,0,1,0,0,0,0
"ближайшее",0,0,0,2,0,0,2
"ближайшей",0,0,0,0,0,1,1
"ближайшем",0,0,0,0,0,2,1
"ближайшие",0,0,3,3,1,0,1
"ближайший",0,0,0,1,0,0,2
"ближайшим",0,0,0,0,0,2,0
"ближе",0,0,0,0,1,5,0
"ближнем",0,0,0,0,0,0,1
"ближний",0,0,0,0,0,0,1
"ближних",0,0,0,0,0,1,0
"близка",0,0,0,0,0,0,1
"близки",0,0,0,1,0,0,0
"близкие",0,0,0,0,0,2,0
"близко",1,0,0,0,0,0,1
"близок",0,0,0,0,0,0,1
"блог",0,0,0,0,1,0,2
"блогов",1,0,0,0,0,0,0
"блока",0,0,0,1,1,0,0
"блокадного",0,0,0,0,0,1,0
"блокирующий",1,0,0,0,0,0,0
"блоху",0,0,0,0,0,1,0
"богатейших",0,0,0,0,1,0,0
"богатого",0,0,0,0,0,0,1
"богатой",0,0,0,0,0,0,1
"богатств",0,0,0,0,1,0,0
"богатство",2,0,0,0,0,1,0
"богатым",0,0,0,0,1,0,0
"богатыря",0,0,0,0,0,1,0
"богатых",1,0,0,0,0,0,0
"богачей",0,0,0,0,0,0,1
"богачи",0,0,0,0,0,0,1
"бодрый",0,0,0,1,0,0,0
"бодрящие",0,0,0,1,0,0,0
"боем",0,0,0,0,0,1,0
"божья",0,0,0,0,0,1,0
"более",12,2,4,13,7,9,21
"более-менее",0,0,0,0,1,0,1
"болезненная",1,0,0,0,0,2,0
"болезненнее",0,0,0,0,1,0,0
"болезненного",0,0,0,0,0,1,0
"болезненной",0,0,0,0,0,1,0
"болезни",0,0,0,0,1,0,1
"болеть",0,0,0,0,0,1,0
"болтовня",0,0,0,0,0,1,0
"больнице",0,0,0,0,0,1,0
"больничные",0,0,0,0,1,0,0
"больной",0,0,0,0,0,0,1
"большая",0,0,0,2,0,0,0
"больше",12,0,1,3,4,17,13
"большевиками",0,0,0,0,0,1,0
"большего",1,0,0,0,1,0,0
"большей",2,0,0,2,2,1,2
"большем",0,0,0,0,0,0,1
"большие",0,0,0,0,0,0,1
"больший",1,0,0,0,0,0,0
"большим",0,0,0,1,0,2,1
"большими",0,0,0,0,0,1,0
"большинсве",0,0,0,0,1,0,0
"большинства",0,0,1,1,2,2,1
"большинстве",0,0,0,0,1,0,1
"большинство",4,0,0,0,2,2,0
"большинству",0,0,0,0,1,0,1
"больших",1,0,0,1,0,0,0
"большого",2,0,0,0,0,1,0
"большое",1,0,0,0,0,2,0
"большой",1,0,0,1,0,2,0
"бонусы",0,0,0,0,0,1,0
"борется",1,0,0,0,0,0,0
"бориса",1,0,0,0,0,0,0
"борисе",0,0,0,0,0,1,0
"боровшегося",1,0,0,0,0,0,0
"бороться",0,0,0,0,0,1,1
"борщ",0,0,0,0,0,1,0
"борьба",0,0,0,0,1,3,0
"борьбе",0,0,0,0,0,1,0
"борьбой",0,0,0,0,0,2,0
"борьбу",0,0,0,0,1,1,0
"борьбы",0,0,0,0,1,0,0
"борющегося",0,0,0,0,0,0,1
"бочаров",0,0,0,0,1,0,0
"бочка",0,0,0,0,0,1,0
